Time,Theta1_planned,Theta1_current,Theta2_planned,Theta2_current,h3_planned,h3_current,Theta4_planned,Theta4_current,x,y
6.99999,106.029,101.765,26.7487,14.6062,-181.313,-179.818,109.186,94.5123,-28.1583,332.429
7.03999,106.111,101.831,27.1833,14.9543,-181.388,-179.878,109.664,94.8958,-38.5712,332.851
7.07999,106.191,101.896,27.6168,15.3017,-181.463,-179.938,110.141,95.278,-48.8457,332.549
7.11999,106.27,101.987,28.0492,15.7997,-181.538,-180.024,110.615,95.8251,-63.3113,330.904
7.15999,106.348,102.05,28.4803,16.1451,-181.613,-180.084,111.088,96.204,-73.0994,328.96
7.19999,106.425,102.112,28.9103,16.4897,-181.688,-180.144,111.559,96.5815,-82.5944,326.405
7.23999,106.5,102.173,29.3391,16.8333,-181.763,-180.204,112.027,96.9573,-91.7564,323.28
7.27999,106.574,102.232,29.7667,17.1758,-181.839,-180.265,112.494,97.3314,-100.552,319.627
7.31999,106.647,102.291,30.1932,17.5176,-181.914,-180.325,112.959,97.7041,-108.964,315.487
7.35999,106.718,102.349,30.6184,17.8583,-181.99,-180.385,113.422,98.0751,-116.965,310.903
7.39999,106.788,102.43,31.0425,18.3468,-182.066,-180.472,113.882,98.6062,-127.752,303.593
7.43999,106.857,102.486,31.4654,18.6857,-182.142,-180.533,114.341,98.9741,-134.738,298.059
7.47999,106.925,102.54,31.8872,19.0236,-182.217,-180.594,114.798,99.3404,-141.263,292.222
7.51999,106.991,102.594,32.3077,19.3607,-182.294,-180.655,115.252,99.7051,-147.325,286.118
7.55999,107.056,102.647,32.7271,19.6967,-182.37,-180.716,115.705,100.068,-152.919,279.792
7.59999,107.12,102.698,33.1453,20.0318,-182.446,-180.777,116.156,100.43,-158.047,273.279
7.63999,107.183,102.749,33.5623,20.366,-182.522,-180.838,116.605,100.79,-162.714,266.614
7.67999,107.244,102.82,33.9782,20.845,-182.599,-180.926,117.052,101.305,-168.647,256.804
7.71999,107.304,102.869,34.3928,21.1772,-182.675,-180.987,117.496,101.661,-172.243,249.862
7.75999,107.363,102.916,34.8063,21.5085,-182.752,-181.048,117.939,102.017,-175.401,242.878
7.79999,107.42,102.963,35.2187,21.839,-182.829,-181.11,118.38,102.37,-178.135,235.883
7.83999,107.477,103.008,35.6298,22.1685,-182.906,-181.171,118.819,102.722,-180.458,228.904
7.87999,107.532,103.053,36.0398,22.4969,-182.983,-181.233,119.256,103.072,-182.385,221.97
7.91999,107.585,103.096,36.4486,22.8245,-183.06,-181.294,119.691,103.421,-183.935,215.099
7.95999,107.638,103.157,36.8562,23.294,-183.137,-181.383,120.124,103.92,-185.543,205.33
7.99999,107.689,103.198,37.2626,23.6197,-183.215,-181.445,120.555,104.266,-186.251,198.634
8.03999,107.739,103.239,37.6679,23.9445,-183.292,-181.507,120.984,104.61,-186.639,192.066
8.07999,107.787,103.278,38.0719,24.2684,-183.37,-181.569,121.411,104.953,-186.727,185.64
8.11999,107.834,103.317,38.4748,24.5912,-183.448,-181.631,121.836,105.293,-186.534,179.371
8.15999,107.88,103.354,38.8766,24.9131,-183.525,-181.694,122.259,105.633,-186.081,173.268
8.19999,107.925,103.39,39.2771,25.2341,-183.603,-181.756,122.68,105.97,-185.387,167.341
8.23999,107.969,103.44,39.6765,25.6842,-183.681,-181.844,123.099,106.443,-184.034,159.277
8.27999,108.011,103.474,40.0747,26.0033,-183.76,-181.906,123.516,106.777,-182.827,153.745
8.31999,108.052,103.507,40.4717,26.3214,-183.838,-181.969,123.931,107.11,-181.44,148.411
